"","Name","Date","City"
"1","Abbat, Georg","1669-5-19",""
"2","Abbitt, Robte","1634-9-3",""
"3","Abbot, Arthur jun","1671-5-31","Ipswich"
"4","Abbot, Georg","1676-2-21","Andover"
"5","Abbot, Nehemiah","1669-5-19",""
"6","Abbot, Daniel","1630-10-19",""
"7","Abbot, Daniel","1631-5-18",""
"8","Abbute, Georg","1691-4-18","Andover"
"9","Abbute, John","1691-4-18","Andover"
"10","Abbie, Samuel","1690-3-22","Salem"
"11","Abby, Jno. sen","1685-5-7","Reading"
"12","Abby, Sam.","1680-10-13","Wenham"
"13","Abell, Robte","1630-10-19",""
"14","Abell, Robte","1631-5-18",""
"15","Adams, Alex.","1648-5-10",""
"16","Adams, Fardinando","1640-5-13",""
"17","Adams, Jerymy","1635-5-6",""
"18","Adams, John","1690-5-30","Braiinree"
"19","Adams, Natha.","1647-5-26",""
"20","Adams, Richard","1635-9-2",""
"21","Adams, Sam.","1643-5-10",""
"22","Adams, Tho.","1643-5-10",""
"23","Adams, Willi.","1639-5-22",""
"24","Addams, Abra.","1674-1-9","Newbury"
"25","Addams, Edw.","1654-5-3",""
"26","Addams, Edw.","1674-5-27","Med."
"27","Addams, Edwd","1677-5-23","Medfleld"
"28","Addams, Eljazr","1677-5-23","Medfleld"
"29","Addams, Jno.","1666-5-22","Cambridge"
"30","Addams, Jno.","1668-4-29","Cambridge"
"31","Addams, John","1690-5-15","Boston"
"32","Addams, Joseph","1653-5-18","Boston"
"33","Addams, Joseph","1655-5-23",""
"34","Addams, Nathaniel","1674-5-27","Ipswich"
"35","Addams, Peeter","1650-5-22","Accom'tcus"
"36","Addams, Phillip","1652-11-22",""
"37","Addams, Wm.","1674-1-9","Dedham"
"38","Addams, Wm.","1678-10-2","Sudbury"
"39","Addington, Isacck","1650-5-22",""
"40","Addington, Isack","1672-10-8","Boston"
"41","Adger, Tho.","1674-7-22",""
"42","Agar, Willm","1631-5-18",""
"43","Aires, John","1690-3-22",""
"44","Albey, Benia.","1642-5-18",""
"45","Albye, John","1643-5-10",""
"46","Albye, John","1670-5-11",""
"47","Alcock, Sam.","1676-5-3","Boston"
"48","Alcocke, George","1639-10-19",""
"49","Alcocke, George","1631-5-18",""
"50","Alcocke, Jno.","1652-11-22","Accom'tcus"
"51","Alcocke, Thomas","1635-5-6",""
"52","Alcoke, Joseph","1652-11-22","Accom'tcus"
"53","Alcoke, Sam.","1652-11-22","Accom'tcus"
"54","Alden, John3d","1671-5-31","Boston"
"55","Alderman, John","1639-5-22",""
"56","Aldishe, Nathan","1640-5-13",""
"57","Aldridge, George","1636-12-7",""
"58","Aldridge, Hen.","1645-5-0",""
"59","Aldridge, Tho.","1677-5-23","Dedham"
"60","Alford, Benj.","1690-3-22",""
"61","Alford, Benj.","1690-5-15",""
"62","Aleworth, Frauncs","1631-5-18",""
"63","Alexander, John","1690-5-30","N'hampton"
"64","Alexander, Nath'l","1690-5-30","N'hampton"
"65","Aline, Willi.","1642-5-18",""
"66","Alldis, John","1690-5-15",""
"67","Allen[seeAline], Bozoun","1641-6-2",""
"68","Allen[seeAline], Bozoun","1682-10-11",""
"69","Allen[seeAline], Edw.","1666-5-22","Boston"
"70","Allen[seeAline], George","1645-5-0",""
"71","Allen[seeAline], Henry","1648-5-10",""
"72","Allen[seeAline], James","1647-5-26",""
"73","Allen[seeAline], John","1639-3-13",""
"74","Allen, John","1641-6-2",""
"75","Allen, Mathewe","1635-3-4",""
"76","Allen, Sam'll","1635-5-6",""
