"","X","Name","Date","cityST","lon","lat"
"1",1,"Abbat, Georg",1669-05-19,"",NA,NA
"2",2,"Abbitt, Robte",1634-09-03,"",NA,NA
"3",3,"Abbot, Arthur jun",1671-05-31,"Ipswich, MA",-70.8411558,42.6791832
"4",4,"Abbot, Georg",1676-02-21,"Andover, MA",-71.1367953,42.6583356
"5",5,"Abbot, Nehemiah",1669-05-19,"",NA,NA
"6",6,"Abbot, Daniel",1630-10-19,"",NA,NA
"7",7,"Abbot, Daniel",1631-05-18,"",NA,NA
"8",8,"Abbute, Georg",1691-04-18,"Andover, MA",-71.1367953,42.6583356
"9",9,"Abbute, John",1691-04-18,"Andover, MA",-71.1367953,42.6583356
"10",10,"Abbie, Samuel",1690-03-22,"Salem, MA",-70.8967155,42.51954
"11",11,"Abby, Jno. sen",1685-05-07,"Reading, MA",-71.0952891,42.5256563
"12",12,"Abby, Sam.",1680-10-13,"Wenham, MA",-70.8911612,42.604261
"13",13,"Abell, Robte",1630-10-19,"",NA,NA
"14",14,"Abell, Robte",1631-05-18,"",NA,NA
"15",15,"Adams, Alex.",1648-05-10,"",NA,NA
"16",16,"Adams, Fardinando",1640-05-13,"",NA,NA
"17",17,"Adams, Jerymy",1635-05-06,"",NA,NA
"18",18,"Adams, John",1690-05-30,"Braiinree, MA",-71.0040013,42.2079017
"19",19,"Adams, Natha.",1647-05-26,"",NA,NA
"20",20,"Adams, Richard",1635-09-02,"",NA,NA
"21",21,"Adams, Sam.",1643-05-10,"",NA,NA
"22",22,"Adams, Tho.",1643-05-10,"",NA,NA
"23",23,"Adams, Willi.",1639-05-22,"",NA,NA
"24",24,"Addams, Abra.",1674-01-09,"Newbury, MA",-70.8714528,42.7649497
"25",25,"Addams, Edw.",1654-05-03,"",NA,NA
"26",26,"Addams, Edw.",1674-05-27,"Med., MA",-71.2812495,42.4040738
"27",27,"Addams, Edwd",1677-05-23,"Medfleld, MA",-71.3064597,42.1875826
"28",28,"Addams, Eljazr",1677-05-23,"Medfleld, MA",-71.3064597,42.1875826
"29",29,"Addams, Jno.",1666-05-22,"Cambridge, MA",-71.1097335,42.3736158
"30",30,"Addams, Jno.",1668-04-29,"Cambridge, MA",-71.1097335,42.3736158
"31",31,"Addams, John",1690-05-15,"Boston, MA",-71.0588801,42.3600825
"32",32,"Addams, Joseph",1653-05-18,"Boston, MA",-71.0588801,42.3600825
"33",33,"Addams, Joseph",1655-05-23,"",NA,NA
"34",34,"Addams, Nathaniel",1674-05-27,"Ipswich, MA",-70.8411558,42.6791832
"35",35,"Addams, Peeter",1650-05-22,"Accom'tcus, MA",NA,NA
"36",36,"Addams, Phillip",1652-11-22,"",NA,NA
"37",37,"Addams, Wm.",1674-01-09,"Dedham, MA",-71.1676536,42.2436085
"38",38,"Addams, Wm.",1678-10-02,"Sudbury, MA",-71.4161725,42.3834278
"39",39,"Addington, Isacck",1650-05-22,"",NA,NA
"40",40,"Addington, Isack",1672-10-08,"Boston, MA",-71.0588801,42.3600825
"41",41,"Adger, Tho.",1674-07-22,"",NA,NA
"42",42,"Agar, Willm",1631-05-18,"",NA,NA
"43",43,"Aires, John",1690-03-22,"",NA,NA
"44",44,"Albey, Benia.",1642-05-18,"",NA,NA
"45",45,"Albye, John",1643-05-10,"",NA,NA
"46",46,"Albye, John",1670-05-11,"",NA,NA
"47",47,"Alcock, Sam.",1676-05-03,"Boston, MA",-71.0588801,42.3600825
"48",48,"Alcocke, George",1639-10-19,"",NA,NA
"49",49,"Alcocke, George",1631-05-18,"",NA,NA
"50",50,"Alcocke, Jno.",1652-11-22,"Accom'tcus, MA",NA,NA
"51",51,"Alcocke, Thomas",1635-05-06,"",NA,NA
"52",52,"Alcoke, Joseph",1652-11-22,"Accom'tcus, MA",NA,NA
